time;Genesen
26.02;3
27.02;3
28.02;3
29.02;3
01.03;4
02.03;4
03.03;4
04.03;4
05.03;6
06.03;6
07.03;7
08.03;8
09.03;8
10.03;10
11.03;11
12.03;11
13.03;11
14.03;12
15.03;15
16.03;27
17.03;28
18.03;32
19.03;37
20.03;50
21.03;59
22.03;66
23.03;103
24.03;163
25.03;233
26.03;336
27.03;488
28.03;619
29.03;793
30.03;1016
31.03;1249
01.04;1465
02.04;1749
03.04;2022
04.04;2507
05.04;2998
06.04;3463
07.04;4046
08.04;4512
09.04;5240
10.04;6064
11.04;6604
12.04;6984
13.04;7343
14.04;7633
15.04;8098
